producto_buscado,producto_encontrado,farmacia,precio_descuento_cop,precio_antes_cop,descuento_porcentaje,validacion_producto,puntaje_coincidencia,notas_validacion,fecha_consulta,url_producto
loratadina,Loratadina 10Mg Caja X 10 Tabletas,Cruz Verde,3290,4700,30.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.384089+00:00,https://beta1.cruzverde.com.co/loratadina-10mg-caja-x-10-tabletas/COCV_30920.html
loratadina,Loratadina 10 Mg Tableta Genfar,Colsubsidio,4550,4550,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.534065+00:00,https://www.drogueriascolsubsidio.com/loratadina-10-mg-tableta-genfar-7702605101634/p
loratadina,Loratadina Mk 10 Mg Caja X 10 Tabletas,Farmatodo,5100,,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.234339+00:00,https://www.farmatodo.com.co/producto/1000690
naproxeno 250 mg,Naproxeno Cápsulas 250Mg Caja X 10,Cruz Verde,6000,7500,20.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.471468+00:00,https://beta1.cruzverde.com.co/naproxeno-capsulas-250mg-caja-x-10-/COCV_30973.html
naproxeno 250 mg,Naproxeno Genfar 250 Mg Caja X 10 Comprimidos,Farmatodo,6952,7900,12.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.326243+00:00,https://www.farmatodo.com.co/producto/1002615-naproxeno-genfar-250mg
naproxeno 250 mg,Naproxeno 250 Mg Comprimido Genfar,Colsubsidio,7500,7500,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.611422+00:00,https://www.drogueriascolsubsidio.com/naproxeno-250-mg-comprimido-genfar-7702605101931/p
naproxeno 500 mg,Naproxeno 500Mg Tabletas Caja X 10 Genfar,Cruz Verde,7804,11150,30.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.484335+00:00,https://beta1.cruzverde.com.co/naproxeno-500mg-tabletas-caja-x-10-genfar/COCV_17703.html
naproxeno 500 mg,Naproxeno 500 Mg Genfar Caja X 10 Tabletas,Farmatodo,9284,10550,12.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.334390+00:00,https://www.farmatodo.com.co/producto/1002035-naproxeno-genfar-500mg
naproxeno 500 mg,Naproxeno 500 mg Tableta Genfar,Colsubsidio,10550,10550,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.626183+00:00,https://www.drogueriascolsubsidio.com/naproxeno-500-mg-tableta-genfar-7702605101948/p
omeprazol 20 mg,Omeprazol 20 mg Cápsula Dura Genfar,Colsubsidio,4350,4350,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.555863+00:00,https://www.drogueriascolsubsidio.com/omeprazol-20-mg-capsula-dura-genfar-7702605102044/p
omeprazol 20 mg,Omeprazol Genfar 20 Mg Caja X 10 Cápsulas,Farmatodo,4400,5000,12.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.263300+00:00,https://www.farmatodo.com.co/producto/1002495
omeprazol 20 mg,Genoprazol Cápsulas 20 Mg Caja x 14,Cruz Verde,22657,23850,5.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.406079+00:00,https://beta1.cruzverde.com.co/genoprazol-capsulas-20-mg-caja-x-14/COCV_126724.html
suero oral,Enterolyte Suero Oral Tratamiento Deshidratación 75 Uva X400ml.,Farmatodo,7200,,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.250937+00:00,https://www.farmatodo.com.co/producto/1035036-enterolyte-suero-oral
suero oral,Suero Rehidratante Electrolit Solución Oral Sabor Uva 30Meq/L Frasco X 625mL,Cruz Verde,8645,9100,5.0,ok,86,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.399109+00:00,https://beta1.cruzverde.com.co/suero-rehidratante-electrolit-solucion-oral-sabor-uva-30meql-frasco-x-625ml/COCV_146775.html
suero oral,Electrolit Solución Oral Maracuya,Colsubsidio,8650,8650,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.541440+00:00,https://www.drogueriascolsubsidio.com/electrolit-solucion-oral-maracuya-7501125184864/p
